Fuel_transport_8th,Emissions factor (MT/PJ),Economy
16_6_biodiesel,0.0,07_INA
16_6_biodiesel,0.0,08_JPN
16_6_biodiesel,0.0,09_ROK
16_6_biodiesel,0.0,10_MAS
16_6_biodiesel,0.0,11_MEX
16_6_biodiesel,0.0,12_NZ
16_6_biodiesel,0.0,13_PNG
16_6_biodiesel,0.0,14_PE
16_6_biodiesel,0.0,15_PHL
16_6_biodiesel,0.0,16_RUS
16_6_biodiesel,0.0,17_SGP
16_6_biodiesel,0.0,18_CT
16_6_biodiesel,0.0,19_THA
16_6_biodiesel,0.0,20_USA
16_6_biodiesel,0.0,21_VN
16_6_biodiesel,0.0,22_SEA
16_6_biodiesel,0.0,23_NEA
16_6_biodiesel,0.0,23_bONEA
16_6_biodiesel,0.0,24_OAM
16_6_biodiesel,0.0,24_bOOAM
16_6_biodiesel,0.0,25_OCE
7_7_gas_diesel_oil,0.074134,00_APEC
7_7_gas_diesel_oil,0.074134,01_AUS
7_7_gas_diesel_oil,0.074134,02_BD
7_7_gas_diesel_oil,0.074134,03_CDA
7_7_gas_diesel_oil,0.074134,04_CHL
7_7_gas_diesel_oil,0.074134,05_PRC
7_7_gas_diesel_oil,0.074134,06_HKC
7_7_gas_diesel_oil,0.074134,07_INA
7_7_gas_diesel_oil,0.074134,08_JPN
7_7_gas_diesel_oil,0.074134,09_ROK
7_7_gas_diesel_oil,0.074134,10_MAS
7_7_gas_diesel_oil,0.074134,11_MEX
7_7_gas_diesel_oil,0.074134,12_NZ
7_7_gas_diesel_oil,0.074134,13_PNG
7_7_gas_diesel_oil,0.074134,14_PE
7_7_gas_diesel_oil,0.074134,15_PHL
7_7_gas_diesel_oil,0.074134,16_RUS
7_7_gas_diesel_oil,0.074134,17_SGP
7_7_gas_diesel_oil,0.074134,18_CT
7_7_gas_diesel_oil,0.074134,19_THA
7_7_gas_diesel_oil,0.074134,20_USA
7_7_gas_diesel_oil,0.074134,21_VN
7_7_gas_diesel_oil,0.074134,22_SEA
7_7_gas_diesel_oil,0.074134,23_NEA
7_7_gas_diesel_oil,0.074134,23_bONEA
7_7_gas_diesel_oil,0.074134,24_OAM
7_7_gas_diesel_oil,0.074134,24_bOOAM
7_7_gas_diesel_oil,0.074134,25_OCE
7_1_motor_gasoline,0.069363,00_APEC
7_1_motor_gasoline,0.069363,01_AUS
7_1_motor_gasoline,0.069363,02_BD
7_1_motor_gasoline,0.069363,03_CDA
7_1_motor_gasoline,0.069363,04_CHL
7_1_motor_gasoline,0.069363,05_PRC
7_1_motor_gasoline,0.069363,06_HKC
7_1_motor_gasoline,0.069363,07_INA
7_1_motor_gasoline,0.069363,08_JPN
7_1_motor_gasoline,0.069363,09_ROK
7_1_motor_gasoline,0.069363,10_MAS
7_1_motor_gasoline,0.069363,11_MEX
7_1_motor_gasoline,0.069363,12_NZ
7_1_motor_gasoline,0.069363,13_PNG
7_1_motor_gasoline,0.069363,14_PE
7_1_motor_gasoline,0.069363,15_PHL
7_1_motor_gasoline,0.069363,16_RUS
7_1_motor_gasoline,0.069363,17_SGP
7_1_motor_gasoline,0.069363,18_CT
7_1_motor_gasoline,0.069363,19_THA
7_1_motor_gasoline,0.069363,20_USA
7_1_motor_gasoline,0.069363,21_VN
